1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-06-26,1302,900 HOLLY RUN CT,GREAT FALLS,VA,22066
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1325,6500 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,1032,9000 MULVANEY CT,SPRINGFIELD,VA,22152
1,SERV-32,SERVICE - STOLEN AUTO RECOVERY OTHER JURISDICTION,2023-06-26,1318, FASHION BLVD / LEESBURG PIKE,VIENNA,VA,22182
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2023-06-26,1321,12700 DOGWOOD HILLS LN,FAIRFAX,VA,22033
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2023-06-26,1401,3900 PENDERVIEW DR,FAIRFAX,VA,22033
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,2023-06-26,1008, FAIRVIEW PARK DR / NEW PROVIDENCE DR,FALLS CHURCH,VA,22042
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1409,1400 CHAIN BRIDGE RD,MCLEAN,VA,22101
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,1348,4000 MEDFORD DR,ANNANDALE,VA,22003
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-06-26,1330,14600 CHEVERLY CT,CENTREVILLE,VA,20120
1,SERV-11,SERVICE - NATURAL DEATH,2023-06-26,1416,3300 LOCKHEED BLVD,ALEXANDRIA,VA,22306
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-06-26,1408,2000 PEACH ORCHARD DR,FALLS CHURCH,VA,22043
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-06-26,1414,3900 FAIR RIDGE DR,FAIRFAX,VA,22033
1,SERV-47,SERVICE - NON-FATAL OVERDOSE (NFO),2023-06-26,1402,7800 STEADMAN ST,ALEXANDRIA,VA,22309
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-06-26,1414,3900 FAIR RIDGE DR,FAIRFAX,VA,22033
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1510,7900 RICHMOND HWY,ALEXANDRIA,VA,22306
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-06-26,1456,13500 QUIET STREAM CT,CHANTILLY,VA,20151
2,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1504,6200 SEVEN CORNERS CTR,FALLS CHURCH,VA,22044
1,BURG-220-4,BURGLARY - POSSESS BURGLARY TOOLS,2023-06-26,1504,6200 SEVEN CORNERS CTR,FALLS CHURCH,VA,22044
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2023-06-26,1534,6100 KNOLLWOOD DR,FALLS CHURCH,VA,22041
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-06-26,1520,6400 SHARPS DR,CENTREVILLE,VA,20121
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1530,8000 TYSONS CORNER CTR,MCLEAN,VA,22102
1,SERV-37,SERVICE - MISSING JUVENILE,2023-06-26,1526, BUCKMAN RD / RICHMOND HWY,ALEXANDRIA,VA,22309
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2023-06-26,1542,7300 OX RD,FAIRFAX STATION,VA,22039
2,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2023-06-26,1542,7300 OX RD,FAIRFAX STATION,VA,22039
1,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2023-06-26,1628,4500 WEST OX RD,FAIRFAX,VA,22030
2,DRUNK-90E-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2023-06-26,1553,8200 MCCLELLAND PL,ALEXANDRIA,VA,22309
1,WEAP-520-1,WEAPONS - CONCEALED WEAPON VIOLATION,2023-06-26,1553,8200 MCCLELLAND PL,ALEXANDRIA,VA,22309
1,SUSP-1,SUSPICIOUS - EVENT,2023-06-26,1607,13000 LEE JACKSON MEMORIAL HWY,FAIRFAX,VA,22033
